content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,tokens,clean_tokens,stemmed_tokens,final_text
"aplikasi banyak errornya! aplikasi scammer mencuri uang2 pengguna. uang yg sudah keluar utk beli tiket, tiketnya gak muncul. uangnya gak diganti. dan sering terjadi. tidak disarankan utk install app ini",1,0,1.6.10,2025-08-13 02:05:08,"Halo kak Erri Subakti, terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-02-25 06:27:55,"['aplikasi', 'banyak', 'errornya', '!', 'aplikasi', 'scammer', 'mencuri', 'uang2', 'pengguna', '.', 'uang', 'yg', 'sudah', 'keluar', 'utk', 'beli', 'tiket', ',', 'tiketnya', 'gak', 'muncul', '.', 'uangnya', 'gak', 'diganti', '.', 'dan', 'sering', 'terjadi', '.', 'tidak', 'disarankan', 'utk', 'install', 'app', 'ini']","['aplikasi', 'errornya', '!', 'aplikasi', 'scammer', 'mencuri', 'uang2', 'pengguna', 'uang', 'utk', 'beli', 'tiket', 'tiketnya', 'muncul', 'uangnya', 'diganti', 'disarankan', 'utk', 'install', 'app']","['aplikasi', 'errornya', '', 'aplikasi', 'scammer', 'curi', 'uang2', 'guna', 'uang', 'utk', 'beli', 'tiket', 'tiket', 'muncul', 'uang', 'ganti', 'saran', 'utk', 'install', 'app']",aplikasi errornya  aplikasi scammer curi uang2 guna uang utk beli tiket tiket muncul uang ganti saran utk install app
sangat membantu,5,0,,2025-08-12 09:56:32,,,"['sangat', 'membantu']",['membantu'],['bantu'],bantu
error muluuuu pdhl ngisi syg bgt saldo,2,0,,2025-08-12 01:05:42,"Halo kak D Yullia terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-12 13:51:41,"['error', 'muluuuu', 'pdhl', 'ngisi', 'syg', 'bgt', 'saldo']","['error', 'muluuuu', 'pdhl', 'ngisi', 'syg', 'saldo']","['error', 'muluuuu', 'pdhl', 'ngisi', 'syg', 'saldo']",error muluuuu pdhl ngisi syg saldo
mikrolet datang nya lambat nunggu jam 5 pagi belom dateng dateng,1,0,1.6.14,2025-08-11 22:17:59,"Hi Kak Ridho Putra, kami informasikan untuk armada Mikrotrans dikelola sepenuhnya oleh Transjakarta ya kak

Sbg informasi, JakLingko Indonesia merupakan sistem integrasi pembayaran transportasi DKI Jakarta yang mengelola Aplikasi Transportasi Terintegrasi untuk memesan tiket naik transportasi umum MRT Jakarta,LRT Jakarta,Transjakarta & KRL
",2025-08-12 13:48:39,"['mikrolet', 'datang', 'nya', 'lambat', 'nunggu', 'jam', '5', 'pagi', 'belom', 'dateng', 'dateng']","['mikrolet', 'lambat', 'nunggu', 'jam', '5', 'pagi', 'belom', 'dateng', 'dateng']","['mikrolet', 'lambat', 'nunggu', 'jam', '5', 'pagi', 'bom', 'dateng', 'dateng']",mikrolet lambat nunggu jam 5 pagi bom dateng dateng
ok,5,0,1.6.5,2025-08-05 17:44:15,,,['ok'],[],[],
ya allah... kenapa sihhh ga bisa dipake... gabisa dijadiin tempat top up kartu juga... gabisa dipake buat beli tiket juga... bisanya apasih...,1,0,,2025-08-05 10:28:56,"Halo kak Bilqys Nayla terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-06 14:45:58,"['ya', 'allah', '...', 'kenapa', 'sihhh', 'ga', 'bisa', 'dipake', '...', 'gabisa', 'dijadiin', 'tempat', 'top', 'up', 'kartu', 'juga', '...', 'gabisa', 'dipake', 'buat', 'beli', 'tiket', 'juga', '...', 'bisanya', 'apasih', '...']","['allah', '...', 'sihhh', 'dipake', '...', 'gabisa', 'dijadiin', 'top', 'up', 'kartu', '...', 'gabisa', 'dipake', 'beli', 'tiket', '...', 'bisanya', 'apasih', '...']","['allah', '', 'sihhh', 'dipake', '', 'gabisa', 'dijadiin', 'top', 'up', 'kartu', '', 'gabisa', 'dipake', 'beli', 'tiket', '', 'bisa', 'apasih', '']",allah  sihhh dipake  gabisa dijadiin top up kartu  gabisa dipake beli tiket  bisa apasih 
aplikasi gak jelas...belum di tab...masa keterangan sudah terpakai...apalagi yang jenis kartu...saldo 50.000 satu kali tab sisah saldo 20.000...karena saya orang nya teliti.,1,0,,2025-08-02 08:45:14,"Halo kak Sarwono 19 terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-02 14:24:09,"['aplikasi', 'gak', 'jelas', '...', 'belum', 'di', 'tab', '...', 'masa', 'keterangan', 'sudah', 'terpakai', '...', 'apalagi', 'yang', 'jenis', 'kartu', '...', 'saldo', '50.000', 'satu', 'kali', 'tab', 'sisah', 'saldo', '20.000', '...', 'karena', 'saya', 'orang', 'nya', 'teliti', '.']","['aplikasi', '...', 'tab', '...', 'keterangan', 'terpakai', '...', 'jenis', 'kartu', '...', 'saldo', '50.000', 'kali', 'tab', 'sisah', 'saldo', '20.000', '...', 'orang', 'teliti']","['aplikasi', '', 'tab', '', 'terang', 'pakai', '', 'jenis', 'kartu', '', 'saldo', '50 000', 'kali', 'tab', 'sisah', 'saldo', '20 000', '', 'orang', 'teliti']",aplikasi  tab  terang pakai  jenis kartu  saldo 50 000 kali tab sisah saldo 20 000  orang teliti
top up qris gak berhasil tapi saldo di atm terpotong dan pengajuan dana nya lama banget! petugas nya juga bodoamatan!,1,3,1.6.13,2025-08-02 08:22:40,"Halo kak romianty oktaviabr terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-03 14:31:37,"['top', 'up', 'qris', 'gak', 'berhasil', 'tapi', 'saldo', 'di', 'atm', 'terpotong', 'dan', 'pengajuan', 'dana', 'nya', 'lama', 'banget', '!', 'petugas', 'nya', 'juga', 'bodoamatan', '!']","['top', 'up', 'qris', 'berhasil', 'saldo', 'atm', 'terpotong', 'pengajuan', 'dana', 'banget', '!', 'petugas', 'bodoamatan', '!']","['top', 'up', 'qris', 'hasil', 'saldo', 'atm', 'potong', 'aju', 'dana', 'banget', '', 'tugas', 'bodoamatan', '']",top up qris hasil saldo atm potong aju dana banget  tugas bodoamatan 
"jika mau bayar, lama terus, lama terus, gimana sih app nya",1,0,1.6.12,2025-07-30 01:27:39,"Halo kak Epando Zulkifli terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-07-30 13:38:47,"['jika', 'mau', 'bayar', ',', 'lama', 'terus', ',', 'lama', 'terus', ',', 'gimana', 'sih', 'app', 'nya']","['bayar', 'gimana', 'app']","['bayar', 'gimana', 'app']",bayar gimana app
apknya banyak bug nya:(,1,0,1.6.13,2025-07-29 22:51:50,"Halo kak Ahzan terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-07-30 13:41:44,"['apknya', 'banyak', 'bug', 'nya', ':', '(']","['apknya', 'bug', ':', '(']","['apknya', 'bug', '', '']",apknya bug  
jak linko 29 rameee mulu capeee pakk,1,0,,2025-07-25 11:44:01,"Halo kak Dafa Tohir, terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-07-25 13:36:23,"['jak', 'linko', '29', 'rameee', 'mulu', 'capeee', 'pakk']","['jak', 'linko', '29', 'rameee', 'capeee', 'pakk']","['jak', 'linko', '29', 'rameee', 'capeee', 'pakk']",jak linko 29 rameee capeee pakk
"bagusin servernya, gabisa pulang di jam sibuk ini",1,0,1.6.13,2025-07-24 11:34:14,"Halo kak Ammar Shiddiq, terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-07-25 13:37:27,"['bagusin', 'servernya', ',', 'gabisa', 'pulang', 'di', 'jam', 'sibuk', 'ini']","['bagusin', 'servernya', 'gabisa', 'pulang', 'jam', 'sibuk']","['bagusin', 'servernya', 'gabisa', 'pulang', 'jam', 'sibuk']",bagusin servernya gabisa pulang jam sibuk
bapuk bgt ya allah ini aplikasi... tolong di upgrade top up gak bisa error mulu,1,0,1.6.13,2025-07-22 11:21:16,"Halo kak Irma Nuraini terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-07-23 13:22:51,"['bapuk', 'bgt', 'ya', 'allah', 'ini', 'aplikasi', '...', 'tolong', 'di', 'upgrade', 'top', 'up', 'gak', 'bisa', 'error', 'mulu']","['bapuk', 'allah', 'aplikasi', '...', 'tolong', 'upgrade', 'top', 'up', 'error']","['bapuk', 'allah', 'aplikasi', '', 'tolong', 'upgrade', 'top', 'up', 'error']",bapuk allah aplikasi  tolong upgrade top up error
aplikasi tidak jelas giliran di stasiun mrt tidak bisa scan saat di bawah bisa,1,0,,2025-07-22 11:11:06,"Halo kak Khaliza Mei Rina terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-07-23 13:21:47,"['aplikasi', 'tidak', 'jelas', 'giliran', 'di', 'stasiun', 'mrt', 'tidak', 'bisa', 'scan', 'saat', 'di', 'bawah', 'bisa']","['aplikasi', 'giliran', 'stasiun', 'mrt', 'scan']","['aplikasi', 'gilir', 'stasiun', 'mrt', 'scan']",aplikasi gilir stasiun mrt scan
aplikasinya lemot banget,1,0,1.6.13,2025-07-22 01:15:52,"Halo kak next On terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-07-23 13:19:00,"['aplikasinya', 'lemot', 'banget']","['aplikasinya', 'lemot', 'banget']","['aplikasi', 'lot', 'banget']",aplikasi lot banget
aplikasi nya bikin bingung semoga cepat di tindak lanjut lagi lah supaya penggunaan nya lebih nyaman dan enak ui nya masa kadang akurat kadang kaga,1,0,,2025-07-20 18:43:55,"Halo kak Maulidan Zulkarnain terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-07-23 13:15:49,"['aplikasi', 'nya', 'bikin', 'bingung', 'semoga', 'cepat', 'di', 'tindak', 'lanjut', 'lagi', 'lah', 'supaya', 'penggunaan', 'nya', 'lebih', 'nyaman', 'dan', 'enak', 'ui', 'nya', 'masa', 'kadang', 'akurat', 'kadang', 'kaga']","['aplikasi', 'bikin', 'bingung', 'semoga', 'cepat', 'tindak', 'penggunaan', 'nyaman', 'enak', 'ui', 'kadang', 'akurat', 'kadang', 'kaga']","['aplikasi', 'bikin', 'bingung', 'moga', 'cepat', 'tindak', 'guna', 'nyaman', 'enak', 'ui', 'kadang', 'akurat', 'kadang', 'kaga']",aplikasi bikin bingung moga cepat tindak guna nyaman enak ui kadang akurat kadang kaga
"kamu bisa daftarkan identitas & kartu digital (klo sya e money) utk dpt harga perjalanan di luar nurul 😆 mrt ga sampai 2rb dan tj kadang rp0,-",5,4,1.6.13,2025-07-20 02:23:45,,,"['kamu', 'bisa', 'daftarkan', 'identitas', '&', 'kartu', 'digital', '(', 'klo', 'sya', 'e', 'money', ')', 'utk', 'dpt', 'harga', 'perjalanan', 'di', 'luar', 'nurul', '😆', 'mrt', 'ga', 'sampai', '2rb', 'dan', 'tj', 'kadang', 'rp0', ',', '-']","['daftarkan', 'identitas', '&', 'kartu', 'digital', '(', 'klo', 'sya', 'e', 'money', ')', 'utk', 'dpt', 'harga', 'perjalanan', 'nurul', '😆', 'mrt', '2rb', 'tj', 'kadang', 'rp0', '-']","['daftar', 'identitas', '', 'kartu', 'digital', '', 'klo', 'sya', 'e', 'money', '', 'utk', 'dpt', 'harga', 'jalan', 'nurul', '', 'mrt', '2rb', 'tj', 'kadang', 'rp0', '-']",daftar identitas  kartu digital  klo sya e money  utk dpt harga jalan nurul  mrt 2rb tj kadang rp0 -
tolong dong buat petugas (mba² ada 2 org ) di busway pulo gadung sudah ambil paksa kartu saya tolong di tindak lanjuti jam 20.00 tgl 18 - 07 - 2025,1,0,1.6.13,2025-07-18 15:41:40,"Halo kak amanda aliftia terkait kendala pada moda transportasi Transjakarta, kakak dapat menghubungi layanan Transjakarta di
📲 WhatsApp : 08180-4500-102
📞 Call Center : 1500102
📧 Email : naektije@transjakarta.co.id
🐦 Twitter : @PT_Transjakarta
📸 Instagram : @pt_transjakarta
📘 Facebook : PT Transportasi Jakarta",2025-07-19 14:19:16,"['tolong', 'dong', 'buat', 'petugas', '(', 'mba²', 'ada', '2', 'org', ')', 'di', 'busway', 'pulo', 'gadung', 'sudah', 'ambil', 'paksa', 'kartu', 'saya', 'tolong', 'di', 'tindak', 'lanjuti', 'jam', '20.00', 'tgl', '18', '-', '07', '-', '2025']","['tolong', 'petugas', '(', 'mba²', 'org', ')', 'busway', 'pulo', 'gadung', 'ambil', 'paksa', 'kartu', 'tolong', 'tindak', 'lanjuti', 'jam', '20.00', 'tgl', '18', '-', '07', '-', '2025']","['tolong', 'tugas', '', 'mba', 'org', '', 'busway', 'pulo', 'gadung', 'ambil', 'paksa', 'kartu', 'tolong', 'tindak', 'lanjut', 'jam', '20 00', 'tgl', '18', '-', '07', '-', '2025']",tolong tugas  mba org  busway pulo gadung ambil paksa kartu tolong tindak lanjut jam 20 00 tgl 18 - 07 - 2025
"sangat tidak membantu,server kacau!!!",1,0,1.6.13,2025-07-17 01:11:44,"Halo kak Raja Depa terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-07-17 13:55:06,"['sangat', 'tidak', 'membantu', ',', 'server', 'kacau', '!', '!', '!']","['membantu', 'server', 'kacau', '!', '!', '!']","['bantu', 'server', 'kacau', '', '', '']",bantu server kacau   
tolong di perbaiki dong untuk koridor 9c nunggu nya lama banget hampir 1jam baru dateng kalau bisa diperbanyak busnya,1,0,,2025-07-08 15:58:06,"Hi Kak Bila Salsabila, kami informasikan untuk Bus Transjakarta dikelola sepenuhnya oleh Transjakarta ya kak

Sbg informasi, JakLingko Indonesia merupakan sistem integrasi pembayaran transportasi DKI Jakarta yang mengelola Aplikasi Transportasi Terintegrasi untuk memesan tiket naik transportasi umum MRT Jakarta,LRT Jakarta,Transjakarta & KRL",2025-07-09 13:56:48,"['tolong', 'di', 'perbaiki', 'dong', 'untuk', 'koridor', '9c', 'nunggu', 'nya', 'lama', 'banget', 'hampir', '1jam', 'baru', 'dateng', 'kalau', 'bisa', 'diperbanyak', 'busnya']","['tolong', 'perbaiki', 'koridor', '9c', 'nunggu', 'banget', '1jam', 'dateng', 'diperbanyak', 'busnya']","['tolong', 'baik', 'koridor', '9c', 'nunggu', 'banget', '1jam', 'dateng', 'banyak', 'bus']",tolong baik koridor 9c nunggu banget 1jam dateng banyak bus
susah bener mu registrasi apa lagi error sistemnya?? atau emng aplikasi ny rusak,1,0,1.6.12,2025-07-07 23:57:53,"Halo kak Juniar Fridiyanto terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-07-08 15:08:44,"['susah', 'bener', 'mu', 'registrasi', 'apa', 'lagi', 'error', 'sistemnya', '?', '?', 'atau', 'emng', 'aplikasi', 'ny', 'rusak']","['susah', 'bener', 'mu', 'registrasi', 'error', 'sistemnya', '?', '?', 'emng', 'aplikasi', 'ny', 'rusak']","['susah', 'bener', 'mu', 'registrasi', 'error', 'sistem', '', '', 'emng', 'aplikasi', 'ny', 'rusak']",susah bener mu registrasi error sistem   emng aplikasi ny rusak
otp gk masuk masuk kenapa yhh?,4,0,1.6.12,2025-07-06 00:01:15,,,"['otp', 'gk', 'masuk', 'masuk', 'kenapa', 'yhh', '?']","['otp', 'masuk', 'masuk', 'yhh', '?']","['otp', 'masuk', 'masuk', 'yhh', '']",otp masuk masuk yhh 
"opsi pembayaran cuma ada 3, semoga aja lebih banyak opsi pembayarannya",1,0,,2025-07-02 02:05:17,"Halo kak Mahesa Bahma terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-07-03 13:09:38,"['opsi', 'pembayaran', 'cuma', 'ada', '3', ',', 'semoga', 'aja', 'lebih', 'banyak', 'opsi', 'pembayarannya']","['opsi', 'pembayaran', '3', 'semoga', 'opsi', 'pembayarannya']","['opsi', 'bayar', '3', 'moga', 'opsi', 'bayar']",opsi bayar 3 moga opsi bayar
